delay,freq,condition,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,,,,,,
0.7,1000,exp,5.191666667,1.238075,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,exp,1.458333333,1.9248591,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,1000,exp,2.083333333,1.1875567,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,1000,exp,1.516666667,1.310403,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,1000,exp,1.258333333,1.5327856,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,1000,exp,1.716666667,2.8490624,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,1000,exp,1.458333333,1.6542475,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,1000,exp,1.458333333,0.7900307,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,exp,4.833333333,2.0723224,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,exp,4.833333333,1.0282333,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,1000,exp,1.808333333,1.3608253,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,exp,1.808333333,3.5582082,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
